#TYPE Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.DiagnosticRecord
"Line","Column","Message","Extent","RuleName","Severity","ScriptName","ScriptPath","RuleSuppressionID","SuggestedCorrections"
"14","1","The variable 'ErrorView' is assigned but never used.","$ErrorView","PSUseDeclaredVarsMoreThanAssignments","Warning","test.ps1","D:\projects\powershell\pester\test.ps1","ErrorView",
"63","1","The variable 'PesterPreference' is assigned but never used.","$PesterPreference","PSUseDeclaredVarsMoreThanAssignments","Warning","test.ps1","D:\projects\powershell\pester\test.ps1","PesterPreference",
"40","9","File 'test.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","Write-Host -ForegroundColor Red ""P tests failed!""","PSAvoidUsingWriteHost","Warning","test.ps1","D:\projects\powershell\pester\test.ps1",,
"42","13","File 'test.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","Write-Host -ForegroundColor Red ""$($r.Count) tests failed in '$($r.FullName)'.""","PSAvoidUsingWriteHost","Warning","test.ps1","D:\projects\powershell\pester\test.ps1",,
"53","9","File 'test.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","Write-Host -ForegroundColor Green ""P tests passed!""","PSAvoidUsingWriteHost","Warning","test.ps1","D:\projects\powershell\pester\test.ps1",,
"28","9","'foreach' is an alias of 'ForEach-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content.","foreach","PSAvoidUsingCmdletAliases","Warning","test.ps1","D:\projects\powershell\pester\test.ps1","foreach","System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]"
"40","14","Function 'Update-Directory' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'.","Update-Directory","PSUseShouldProcessForStateChangingFunctions","Warning","chocolateyInstall.ps1","D:\projects\powershell\pester\publish\chocolateyInstall.ps1",,
"111","5","'Get-FileHash' is a cmdlet that is included with PowerShell (version desktop-5.1.14393.206-windows) whose definition should not be overridden","function Get-FileHash {
        param ([string] $Path)

        if (-not (Test-Path -LiteralPath $Path -PathType Leaf)) {
            return $null
        }

        $item = Get-Item -LiteralPath $Path
        if ($item -isnot [System.IO.FileSystemInfo]) {
            return $null
        }

        $stream = $null

        try {
            $sha = [System.Security.Cryptography.SHA256CryptoServiceProvider]::Create()
            $stream = $item.OpenRead()
            $bytes = $sha.ComputeHash($stream)
            return [convert]::ToBase64String($bytes)
        }
        finally {
            if ($null -ne $stream) {
                $stream.Close()
            }
            if ($null -ne $sha) {
                $sha.Clear()
            }
        }
    }","PSAvoidOverwritingBuiltInCmdlets","Warning","chocolateyInstall.ps1","D:\projects\powershell\pester\publish\chocolateyInstall.ps1",,
"10","5","File 'getNugetExe.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","Write-Host Nuget path $nugetPath","PSAvoidUsingWriteHost","Warning","getNugetExe.ps1","D:\projects\powershell\pester\publish\getNugetExe.ps1",,
"14","9","File 'getNugetExe.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","Write-Host Found local nuget.exe running it","PSAvoidUsingWriteHost","Warning","getNugetExe.ps1","D:\projects\powershell\pester\publish\getNugetExe.ps1",,
"21","13","File 'getNugetExe.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","Write-Host Could not run local nuget.exe. Failed with (""$_"")","PSAvoidUsingWriteHost","Warning","getNugetExe.ps1","D:\projects\powershell\pester\publish\getNugetExe.ps1",,
"26","9","File 'getNugetExe.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","Write-Host Local nuget.exe not found","PSAvoidUsingWriteHost","Warning","getNugetExe.ps1","D:\projects\powershell\pester\publish\getNugetExe.ps1",,
"10","5","Cmdlet 'Write-Host' has positional parameter. Please use named parameters instead of positional parameters when calling a command.","Write-Host Nuget path $nugetPath","PSAvoidUsingPositionalParameters","Information","getNugetExe.ps1","D:\projects\powershell\pester\publish\getNugetExe.ps1","Write-Host",
